component,age_years,weight_kg,contains_lithium,contains_lead,contains_mercury,contains_cadmium,contains_cfc,recyclable,material_type,weight_class,condition,region_risk,disposal_history,hazard_score
Battery,4.81,57.04,1,0,0,1,0,0,electrochemical,light,broken,medium,formal,100.0
Battery,8.64,1.24,1,0,0,1,0,0,electrochemical,light,broken,high,formal,100.0
Battery,2.59,11.01,1,0,0,1,0,0,electrochemical,light,damaged,medium,informal,100.0
Battery,2.1,17.54,1,0,0,1,0,0,electrochemical,light,damaged,medium,none,100.0
Battery,2.8,30.86,1,0,0,1,0,0,electrochemical,light,damaged,low,informal,100.0
Battery,1.62,41.06,1,0,0,1,0,0,electrochemical,light,damaged,low,informal,100.0
Battery,0.9,54.56,1,0,0,1,0,0,electrochemical,light,damaged,medium,informal,100.0
Battery,2.63,58.18,1,0,0,1,0,0,electrochemical,light,broken,high,none,100.0
Battery,7.38,55.31,1,0,0,1,0,0,electrochemical,light,working,low,formal,99.81
Battery,3.62,49.73,1,0,0,1,0,0,electrochemical,light,damaged,medium,informal,100.0
Battery,2.12,48.13,1,0,0,1,0,0,electrochemical,light,working,high,none,100.0
Battery,8.88,46.28,1,0,0,1,0,0,electrochemical,light,working,medium,formal,100.0
Battery,10.43,37.4,1,0,0,1,0,0,electrochemical,light,damaged,low,informal,100.0
Battery,7.83,53.23,1,0,0,1,0,0,electrochemical,light,damaged,low,none,100.0
Battery,9.25,33.68,1,0,0,1,0,0,electrochemical,light,broken,medium,informal,100.0
Battery,1.74,1.9,1,0,0,1,0,0,electrochemical,light,damaged,medium,informal,100.0
Battery,10.94,14.97,1,0,0,1,0,0,electrochemical,light,damaged,high,formal,100.0
Battery,2.35,55.78,1,0,0,1,0,0,electrochemical,light,broken,medium,none,100.0
Battery,9.74,11.2,1,0,0,1,0,0,electrochemical,light,broken,medium,none,100.0
Battery,1.77,13.68,1,0,0,1,0,0,electrochemical,light,damaged,high,none,100.0
Battery,0.58,30.65,1,0,0,1,0,0,electrochemical,light,damaged,low,formal,100.0
Battery,4.22,31.13,1,0,0,1,0,0,electrochemical,light,broken,medium,none,100.0
Battery,11.57,15.11,1,0,0,1,0,0,electrochemical,light,damaged,medium,formal,100.0
Battery,6.28,3.1,1,0,0,1,0,0,electrochemical,light,damaged,high,formal,100.0
Battery,2.17,29.37,1,0,0,1,0,0,electrochemical,light,broken,low,none,100.0
Battery,8.87,22.07,1,0,0,1,0,0,electrochemical,light,damaged,medium,informal,100.0
Battery,1.54,50.12,1,0,0,1,0,0,electrochemical,light,damaged,low,formal,100.0
Battery,0.69,30.73,1,0,0,1,0,0,electrochemical,light,working,medium,formal,100.0
Battery,8.45,23.21,1,0,0,1,0,0,electrochemical,light,broken,low,informal,100.0
Battery,8.09,49.04,1,0,0,1,0,0,electrochemical,light,damaged,medium,formal,100.0
Battery,1.57,53.83,1,0,0,1,0,0,electrochemical,light,broken,medium,informal,100.0
Battery,10.82,53.23,1,0,0,1,0,0,electrochemical,light,broken,medium,formal,100.0
Battery,2.36,53.91,1,0,0,1,0,0,electrochemical,light,damaged,low,formal,100.0
Battery,8.46,39.12,1,0,0,1,0,0,electrochemical,light,working,high,formal,100.0
Battery,4.24,44.79,1,0,0,1,0,0,electrochemical,light,damaged,high,none,100.0
Battery,4.73,15.92,1,0,0,1,0,0,electrochemical,light,working,high,informal,100.0
Battery,10.76,37.87,1,0,0,1,0,0,electrochemical,light,broken,medium,informal,100.0
Battery,8.81,16.85,1,0,0,1,0,0,electrochemical,light,working,medium,formal,100.0
Battery,11.32,57.24,1,0,0,1,0,0,electrochemical,light,broken,medium,formal,100.0
Battery,11.62,57.82,1,0,0,1,0,0,electrochemical,light,broken,medium,informal,100.0
Battery,10.29,19.02,1,0,0,1,0,0,electrochemical,light,working,medium,none,100.0
Battery,1.62,36.9,1,0,0,1,0,0,electrochemical,light,broken,low,informal,100.0
Battery,10.59,44.45,1,0,0,1,0,0,electrochemical,light,damaged,high,informal,100.0
Battery,9.82,52.03,1,0,0,1,0,0,electrochemical,light,broken,medium,informal,100.0
Battery,9.68,39.0,1,0,0,1,0,0,electrochemical,light,broken,high,none,100.0
Battery,1.58,34.7,1,0,0,1,0,0,electrochemical,light,working,medium,informal,100.0
Battery,3.8,35.45,1,0,0,1,0,0,electrochemical,light,working,low,none,100.0
Battery,6.51,46.2,1,0,0,1,0,0,electrochemical,light,working,medium,formal,100.0
Battery,1.09,31.89,1,0,0,1,0,0,electrochemical,light,damaged,medium,none,100.0
Battery,4.21,47.71,1,0,0,1,0,0,electrochemical,light,damaged,medium,formal,100.0
Battery,0.79,57.76,1,0,0,1,0,0,electrochemical,light,broken,medium,informal,100.0
Battery,3.38,32.96,1,0,0,1,0,0,electrochemical,light,broken,medium,formal,100.0
Battery,11.48,44.28,1,0,0,1,0,0,electrochemical,light,damaged,medium,informal,100.0
Battery,9.22,0.87,1,0,0,1,0,0,electrochemical,light,working,low,formal,100.0
Battery,10.34,42.22,1,0,0,1,0,0,electrochemical,light,damaged,low,informal,100.0
Battery,5.49,23.92,1,0,0,1,0,0,electrochemical,light,damaged,medium,formal,100.0
Battery,4.81,37.56,1,0,0,1,0,0,electrochemical,light,damaged,high,none,100.0
Battery,7.24,56.41,1,0,0,1,0,0,electrochemical,light,damaged,medium,informal,100.0
Battery,5.77,32.74,1,0,0,1,0,0,electrochemical,light,broken,medium,none,100.0
Battery,4.17,50.69,1,0,0,1,0,0,electrochemical,light,working,high,formal,100.0
Battery,1.86,41.81,1,0,0,1,0,0,electrochemical,light,damaged,high,none,100.0
Battery,2.54,45.04,1,0,0,1,0,0,electrochemical,light,broken,high,informal,100.0
Battery,4.78,46.59,1,0,0,1,0,0,electrochemical,light,damaged,high,none,100.0
Battery,9.18,6.2,1,0,0,1,0,0,electrochemical,light,broken,medium,none,100.0
Battery,4.18,53.73,1,0,0,1,0,0,electrochemical,light,damaged,low,none,100.0
Battery,11.43,57.04,1,0,0,1,0,0,electrochemical,light,damaged,medium,informal,100.0
Battery,3.87,19.73,1,0,0,1,0,0,electrochemical,light,damaged,high,none,100.0
Battery,6.82,26.5,1,0,0,1,0,0,electrochemical,light,broken,medium,formal,100.0
Battery,2.14,45.69,1,0,0,1,0,0,electrochemical,light,damaged,low,formal,100.0
Battery,9.95,42.38,1,0,0,1,0,0,electrochemical,light,working,low,none,100.0
Battery,4.8,22.24,1,0,0,1,0,0,electrochemical,light,broken,high,none,100.0
Battery,1.46,46.63,1,0,0,1,0,0,electrochemical,light,damaged,medium,none,100.0
Battery,1.78,29.56,1,0,0,1,0,0,electrochemical,light,working,medium,formal,100.0
Battery,7.21,57.73,1,0,0,1,0,0,electrochemical,light,damaged,medium,none,100.0
Battery,3.07,57.79,1,0,0,1,0,0,electrochemical,light,working,high,formal,100.0
Battery,11.92,4.44,1,0,0,1,0,0,electrochemical,light,damaged,high,informal,100.0
Battery,7.74,41.75,1,0,0,1,0,0,electrochemical,light,damaged,medium,informal,100.0
Battery,7.63,16.65,1,0,0,1,0,0,electrochemical,light,working,medium,informal,100.0
Battery,7.21,4.67,1,0,0,1,0,0,electrochemical,light,broken,high,none,100.0
Battery,9.86,41.09,1,0,0,1,0,0,electrochemical,light,working,high,none,100.0
Battery,11.42,43.55,1,0,0,1,0,0,electrochemical,light,damaged,medium,none,100.0
Battery,9.82,59.24,1,0,0,1,0,0,electrochemical,light,working,medium,informal,100.0
Battery,11.65,50.53,1,0,0,1,0,0,electrochemical,light,broken,medium,informal,100.0
Battery,10.44,48.78,1,0,0,1,0,0,electrochemical,light,broken,high,informal,100.0
Battery,9.34,56.69,1,0,0,1,0,0,electrochemical,light,broken,low,informal,100.0
Battery,8.22,37.09,1,0,0,1,0,0,electrochemical,light,damaged,low,none,100.0
Battery,6.48,46.34,1,0,0,1,0,0,electrochemical,light,damaged,high,informal,100.0
Battery,5.14,8.05,1,0,0,1,0,0,electrochemical,light,working,high,informal,100.0
Battery,8.6,12.79,1,0,0,1,0,0,electrochemical,light,working,low,informal,100.0
Battery,5.53,54.25,1,0,0,1,0,0,electrochemical,light,damaged,medium,none,100.0
Battery,5.06,37.33,1,0,0,1,0,0,electrochemical,light,broken,high,formal,100.0
Battery,3.47,27.55,1,0,0,1,0,0,electrochemical,light,broken,medium,informal,100.0
Battery,7.78,14.42,1,0,0,1,0,0,electrochemical,light,working,low,formal,99.94
Battery,4.48,53.81,1,0,0,1,0,0,electrochemical,light,damaged,medium,formal,100.0
Battery,2.71,2.46,1,0,0,1,0,0,electrochemical,light,working,medium,formal,96.52
Battery,4.69,30.21,1,0,0,1,0,0,electrochemical,light,damaged,low,none,100.0
Battery,7.72,4.91,1,0,0,1,0,0,electrochemical,light,broken,high,formal,100.0
Battery,9.1,11.08,1,0,0,1,0,0,electrochemical,light,working,medium,informal,100.0
Battery,7.61,22.14,1,0,0,1,0,0,electrochemical,light,damaged,high,formal,100.0
Battery,10.79,30.71,1,0,0,1,0,0,electrochemical,light,damaged,low,informal,100.0
Battery,6.63,14.56,1,0,0,1,0,0,electrochemical,light,damaged,medium,formal,100.0
Battery,4.27,7.19,1,0,0,1,0,0,electrochemical,light,broken,medium,none,100.0
