component,age_years,weight_kg,contains_lithium,contains_lead,contains_mercury,contains_cadmium,recyclable,material_type,weight_class,condition,region_risk,disposal_history,hazard_score
Battery,4.81,19.01,1,0,0,1,0,electrochemical,light,broken,medium,formal,100.0
Battery,8.64,0.42,1,0,0,1,0,electrochemical,light,broken,high,formal,100.0
Battery,2.59,3.68,1,0,0,1,0,electrochemical,light,damaged,medium,informal,100.0
Battery,2.1,5.85,1,0,0,1,0,electrochemical,light,damaged,medium,none,90.43
Battery,2.8,10.29,1,0,0,1,0,electrochemical,light,damaged,low,informal,92.95
Battery,1.62,13.69,1,0,0,1,0,electrochemical,light,damaged,low,informal,97.74
Battery,0.9,18.19,1,0,0,1,0,electrochemical,light,damaged,medium,informal,100.0
Battery,2.63,19.39,1,0,0,1,0,electrochemical,light,broken,high,none,100.0
Battery,7.38,18.44,1,0,0,1,0,electrochemical,light,working,low,formal,82.81
Battery,3.62,16.58,1,0,0,1,0,electrochemical,light,damaged,medium,informal,94.01
Battery,2.12,16.05,1,0,0,1,0,electrochemical,light,working,high,none,97.87
Battery,8.88,15.43,1,0,0,1,0,electrochemical,light,working,medium,formal,96.21
Battery,10.43,12.47,1,0,0,1,0,electrochemical,light,damaged,low,informal,100.0
Battery,7.83,17.75,1,0,0,1,0,electrochemical,light,damaged,low,none,95.81
Battery,9.25,11.23,1,0,0,1,0,electrochemical,light,broken,medium,informal,100.0
Battery,1.74,0.64,1,0,0,1,0,electrochemical,light,damaged,medium,informal,97.85
Battery,10.94,4.99,1,0,0,1,0,electrochemical,light,damaged,high,formal,100.0
Battery,2.35,18.59,1,0,0,1,0,electrochemical,light,broken,medium,none,100.0
Battery,9.74,3.74,1,0,0,1,0,electrochemical,light,broken,medium,none,100.0
Battery,1.77,4.57,1,0,0,1,0,electrochemical,light,damaged,high,none,100.0
Battery,0.58,10.22,1,0,0,1,0,electrochemical,light,damaged,low,formal,87.51
Battery,4.22,10.38,1,0,0,1,0,electrochemical,light,broken,medium,none,100.0
Battery,11.57,5.04,1,0,0,1,0,electrochemical,light,damaged,medium,formal,100.0
Battery,6.28,1.04,1,0,0,1,0,electrochemical,light,damaged,high,formal,100.0
Battery,2.17,9.79,1,0,0,1,0,electrochemical,light,broken,low,none,95.5
Battery,8.87,7.36,1,0,0,1,0,electrochemical,light,damaged,medium,informal,100.0
Battery,1.54,16.71,1,0,0,1,0,electrochemical,light,damaged,low,formal,93.67
Battery,0.69,10.25,1,0,0,1,0,electrochemical,light,working,medium,formal,86.32
Battery,8.45,7.74,1,0,0,1,0,electrochemical,light,broken,low,informal,100.0
Battery,8.09,16.35,1,0,0,1,0,electrochemical,light,damaged,medium,formal,100.0
Battery,1.57,17.95,1,0,0,1,0,electrochemical,light,broken,medium,informal,100.0
Battery,10.82,17.74,1,0,0,1,0,electrochemical,light,broken,medium,formal,100.0
Battery,2.36,17.97,1,0,0,1,0,electrochemical,light,damaged,low,formal,88.53
Battery,8.46,13.04,1,0,0,1,0,electrochemical,light,working,high,formal,93.28
Battery,4.24,14.93,1,0,0,1,0,electrochemical,light,damaged,high,none,100.0
Battery,4.73,5.31,1,0,0,1,0,electrochemical,light,working,high,informal,100.0
Battery,10.76,12.63,1,0,0,1,0,electrochemical,light,broken,medium,informal,100.0
Battery,8.81,5.62,1,0,0,1,0,electrochemical,light,working,medium,formal,92.43
Battery,11.32,19.08,1,0,0,1,0,electrochemical,light,broken,medium,formal,100.0
Battery,11.62,19.27,1,0,0,1,0,electrochemical,light,broken,medium,informal,100.0
Battery,10.29,6.35,1,0,0,1,0,electrochemical,light,working,medium,none,100.0
Battery,1.62,12.3,1,0,0,1,0,electrochemical,light,broken,low,informal,100.0
Battery,10.59,14.82,1,0,0,1,0,electrochemical,light,damaged,high,informal,100.0
Battery,9.82,17.34,1,0,0,1,0,electrochemical,light,broken,medium,informal,100.0
Battery,9.68,13.0,1,0,0,1,0,electrochemical,light,broken,high,none,100.0
Battery,1.58,11.57,1,0,0,1,0,electrochemical,light,working,medium,informal,84.89
Battery,3.8,11.82,1,0,0,1,0,electrochemical,light,working,low,none,83.98
Battery,6.51,15.4,1,0,0,1,0,electrochemical,light,working,medium,formal,88.47
Battery,1.09,10.63,1,0,0,1,0,electrochemical,light,damaged,medium,none,95.37
Battery,4.21,15.91,1,0,0,1,0,electrochemical,light,damaged,medium,formal,95.83
Battery,0.79,19.25,1,0,0,1,0,electrochemical,light,broken,medium,informal,100.0
Battery,3.38,10.99,1,0,0,1,0,electrochemical,light,broken,medium,formal,97.78
Battery,11.48,14.76,1,0,0,1,0,electrochemical,light,damaged,medium,informal,100.0
Battery,9.22,0.3,1,0,0,1,0,electrochemical,light,working,low,formal,83.94
Battery,10.34,14.08,1,0,0,1,0,electrochemical,light,damaged,low,informal,98.82
Battery,5.49,7.98,1,0,0,1,0,electrochemical,light,damaged,medium,formal,95.17
Battery,4.81,12.52,1,0,0,1,0,electrochemical,light,damaged,high,none,100.0
Battery,7.24,18.81,1,0,0,1,0,electrochemical,light,damaged,medium,informal,100.0
Battery,5.77,10.92,1,0,0,1,0,electrochemical,light,broken,medium,none,100.0
Battery,4.17,16.9,1,0,0,1,0,electrochemical,light,working,high,formal,93.83
Battery,1.86,13.94,1,0,0,1,0,electrochemical,light,damaged,high,none,99.71
Battery,2.54,15.01,1,0,0,1,0,electrochemical,light,broken,high,informal,100.0
Battery,4.78,15.53,1,0,0,1,0,electrochemical,light,damaged,high,none,100.0
Battery,9.18,2.07,1,0,0,1,0,electrochemical,light,broken,medium,none,100.0
Battery,4.18,17.91,1,0,0,1,0,electrochemical,light,damaged,low,none,93.93
Battery,11.43,19.01,1,0,0,1,0,electrochemical,light,damaged,medium,informal,100.0
Battery,3.87,6.58,1,0,0,1,0,electrochemical,light,damaged,high,none,100.0
Battery,6.82,8.84,1,0,0,1,0,electrochemical,light,broken,medium,formal,100.0
